title,year,duration,genre,rating,synopsis,directors,stars
The Dropout,2022,403,"Biography, Drama",7.5,TV series that chronicles Theranos founder Elizabeth Holmes' attempt to revolutionize the healthcare industry after dropping out of college and starting a technology company.,"Amanda Seyfried,Naveen Andrews,Michel Gill,William H. Macy",
The Light in the Hall,2022,48,"Drama, Thriller",7.0,"When Cat Donato returns to Llanemlyn to try and find out the truth about Ela Roberts' disappearance 18 years ago, not everyone is happy to dig up the past.","Iwan Rheon,Joanna Scanlan,Alexandra Roach,Annes Elwy",
Disenchanted,2022,119,"Animation, Adventure, Comedy",5.6,"Fifteen years after her happily ever after, Giselle questions her happiness, inadvertently turning the lives of those in the real world and Andalasia upside down in the process.",Adam Shankman,"Amy Adams,Patrick Dempsey,Maya Rudolph,Gabriella Baldacchino"
The Next 365 Days,2022,112,"Drama, Romance",2.7,Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues and jealousy while a tenacious Nacho works to push them apart.,"Barbara Bialowas,Tomasz Mandes","Anna-Maria Sieklucka,Michele Morrone,Simone Susinna,Magdalena Lamparska"
Sherwood,2022,59,"Crime, Drama, Mystery",7.4,Two shocking and unexpected murders shatter an already fractured community leading to one of the largest manhunts in British history.,"David Morrissey,Adam Hugill,Terence Maynard,Robert Glenister",
The Devil Conspiracy,2022,111,"Horror, Thriller",4.5,A cult steals the Shroud of Turin for wicked purposes.,Nathan Frankowski,"Alice Orr-Ewing,Joe Doyle,Eveline Hall,Peter Mensah"
Troll,2022,101,"Action, Adventure, Drama",5.8,"Deep in the Dovre mountain, something gigantic wakes up after a thousand years in captivity. The creature destroys everything in its path and quickly approaches Oslo.",Roar Uthaug,"Ine Marie Wilmann,Kim Falck,Mads Sjøgård Pettersen,Gard B. Eidsvold"
The Price We Pay,2022,86,"Action, Horror, Thriller",4.8,"After a pawn shop robbery goes askew, two criminals take refuge at a remote farmhouse to try to let the heat die down, but find something much more menacing.",Ryûhei Kitamura,"Emile Hirsch,Stephen Dorff,Gigi Zumbado,Vernon Wells"
Sam & Kate,2022,110,"Comedy, Drama, Romance",6.0,A son returns to his small hometown to take care of his ailing father.,Darren Le Gallo,"Jake Hoffman,Schuyler Fisk,Dustin Hoffman,Sissy Spacek"
Senior Year,2022,111,"Comedy, Drama",5.5,"A cheerleading stunt gone wrong landed her in a 20-year coma. Now she's 37, newly awake and ready to live out her high school dream: becoming prom queen.",Alex Hardcastle,"Rebel Wilson,Angourie Rice,Mary Holland,Molly Brown"
Holy Spider,2022,118,"Crime, Drama, Thriller",7.3,"A journalist descends into the dark underbelly of the Iranian holy city of Mashhad as she investigates the serial killings of sex workers by the so called ""Spider Killer"", who believes he is cleansing the streets of sinners.",Ali Abbasi,"Mehdi Bajestani,Zar Amir-Ebrahimi,Arash Ashtiani,Forouzan Jamshidnejad"
Project Legion,2022,90,"Horror, Sci-Fi, Thriller",2.1,A young man trapped in his apartment with a swarm of creatures outside his door must find a way to survive the night and escape from apartment 213.,Lance Kawas,"Brande Roderick,Donald Cerrone,Kelly Lynn Reiter,Chris Maher"
Float,2022,76,Horror,2.7,"When a vlogger and her crew embark on their annual river float to commemorate the untimely loss of their friend, they are plunged into a life and death battle with a mysterious local, a sinister paranormal force, and their own fears.",Zac Locke,"Kaya Coleman,Ophelia Lichtenstein,Kate Mayhew,Grant Morningstar"
Les papillons noirs,2022,50,"Crime, Drama, Mystery",7.5,"Albert Desiderio, a humble retired man, decides to hire a novelist to write his memoirs. But the amazing love story Albert shared with Solange during the 70's turns out to be the confession of a serial killer couple.","Nicolas Duvauchelle,Niels Arestrup,Alyzée Costes,Alice Belaïdi",
Morbius,2022,104,"Action, Adventure, Horror",5.2,"Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.",Daniel Espinosa,"Jared Leto,Matt Smith,Adria Arjona,Jared Harris"
Gaslit,2022,60,"Biography, Drama, History",7.3,A modern take on the 1970s political Watergate scandal centering on untold stories and forgotten characters of the time.,"Julia Roberts,Sean Penn,Dan Stevens,Betty Gilpin",
Welcome to Wrexham,2022,28,"Documentary, Sport",8.2,"Docuseries chronicling the purchase and stewardship of Wrexham AFC, one of professional football's oldest clubs, by two Hollywood actors, Ryan Reynolds and Rob McElhenney.","Ryan Reynolds,Rob McElhenney,Phil Parkinson,Humphrey Ker",
Paradise City,2022,92,"Action, Thriller",3.6,Ryan Swan must carve his way through the Hawaiian crime world to wreak vengeance on the kingpin who murdered his father.,Chuck Russell,"Bruce Willis,John Travolta,Stephen Dorff,Blake Jenner"
Lopez vs. Lopez,2022,22,"Short, Comedy, Drama",5.6,"A working-class family comedy about dysfunction, reconnection, and all the pain and joy in between.","George Lopez,Mayan Lopez,Matt Shively,Al Madrigal",
The Tourist,2022,58,"Drama, Mystery, Thriller",7.0,"When a man wakes up in the Australian outback with no memory, he must use the few clues he has to discover his identity before his past catches up with him.","Jamie Dornan,Danielle Macdonald,Shalom Brune-Franklin,Ólafur Darri Ólafsson",
Tell Me Lies,2022,49,Drama,6.7,The story of a young woman's obsession with a man who is good at being charming.,"Grace Van Patten,Jackson White,Catherine Missal,Spencer House",
Limitless,2022,50,"Documentary, Adventure",8.1,"A different way we can live better for longer: regenerating damage, maximizing strength, building resilience, shocking the body, supercharging memory and confronting mortality.","Chris Hemsworth,Peter Attia,Elsa Pataky,Luke Zocchi",
The Offering,2022,93,Horror,5.2,A family struggling with loss find themselves at the mercy of an ancient demon trying to destroy them from the inside.,Oliver Park,"Nick Blood,Emily Wiseman,Paul Kaye,Allan Corduner"
Let the Right One In,2022,53,"Drama, Horror",7.5,"Follows a 12-year-old girl who lives a closed-in life after turning into a vampire, only able to go out at night. Her father does his best to provide her with the minimal amount of human blood she needs to stay alive.","Demián Bichir,Anika Noni Rose,Grace Gummer,Madison Taylor Baez",
From Scratch,2022,422,Drama,7.9,An American woman falls in love with a Sicilian man while studying abroad in Italy.,"Zoe Saldana,Eugenio Mastrandrea,Danielle Deadwyler,Judith Scott",
American Murderer,2022,102,"Crime, Drama, Thriller",5.0,Charismatic con man Jason Derek Brown becomes wanted by the FBI after hatching his most elaborate scheme yet.,Matthew Gentile,"Tom Pelphrey,Ryan Phillippe,Idina Menzel,Paul Schneider"
Inventing Anna,2022,603,Drama,6.8,"A journalist with a lot to prove investigates the case of Anna Delvey, the Instagram-legendary German heiress who stole the hearts of New York's social scene - and stole their money as well.","Anna Chlumsky,Julia Garner,Arian Moayed,Katie Lowes",
Spirited,2022,127,"Comedy, Family, Musical",6.6,A musical version of Charles Dickens's story of a miserly misanthrope who is taken on a magical journey.,Sean Anders,"Will Ferrell,Ryan Reynolds,Octavia Spencer,Patrick Page"
The Adam Project,2022,106,"Action, Adventure, Comedy",6.7,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future.",Shawn Levy,"Ryan Reynolds,Walker Scobell,Mark Ruffalo,Jennifer Garner"
Sissy,2022,102,"Comedy, Drama, Horror",6.2,"Teen best friends Cecilia and Emma, run into each other after a decade. Cecilia is invited to Emma's bachelorette weekend where she gets stuck in a remote cabin with her high school bully and a taste for revenge.","Hannah Barlow,Kane Senes","Aisha Dee,Hannah Barlow,Emily De Margheriti,Daniel Monks"
Spiderhead,2022,106,"Action, Crime, Drama",5.4,"In the near future, convicts are offered the chance to volunteer as medical subjects to shorten their sentence. One such subject for a new drug capable of generating feelings of love begins questioning the reality of his emotions.",Joseph Kosinski,"Chris Hemsworth,Miles Teller,Jurnee Smollett,Mark Paguio"
Power Book IV: Force,2022,57,"Crime, Drama",8.1,Follows Tommy Egan after he cuts ties and puts New York in his rear-view mirror for good.,"Joseph Sikora,Shane Harper,Isaac Keys,Kris D. Lofton",
